,0
averageRating,averageRating
cannabinoid_cbc_percentile50,cannabinoid_cbc_percentile50
cannabinoid_cbd_percentile50,cannabinoid_cbd_percentile50
cannabinoid_cbg_percentile50,cannabinoid_cbg_percentile50
cannabinoid_thc_percentile50,cannabinoid_thc_percentile50
cannabinoid_thcv_percentile50,cannabinoid_thcv_percentile50
category,category
children_slugs,children_slugs
conditionReviewCount,conditionReviewCount
condition_addAdhd_score,condition_addAdhd_score
condition_addAdhd_votes,condition_addAdhd_votes
condition_alzheimers_score,condition_alzheimers_score
condition_alzheimers_votes,condition_alzheimers_votes
condition_anorexia_score,condition_anorexia_score
condition_anorexia_votes,condition_anorexia_votes
condition_anxiety_score,condition_anxiety_score
condition_anxiety_votes,condition_anxiety_votes
condition_arthritis_score,condition_arthritis_score
condition_arthritis_votes,condition_arthritis_votes
condition_asthma_score,condition_asthma_score
condition_asthma_votes,condition_asthma_votes
condition_bipolarDisorder_score,condition_bipolarDisorder_score
condition_bipolarDisorder_votes,condition_bipolarDisorder_votes
condition_cachexia_score,condition_cachexia_score
condition_cachexia_votes,condition_cachexia_votes
condition_cancer_score,condition_cancer_score
condition_cancer_votes,condition_cancer_votes
condition_crohnsDisease_score,condition_crohnsDisease_score
condition_crohnsDisease_votes,condition_crohnsDisease_votes
condition_epilepsy_score,condition_epilepsy_score
condition_epilepsy_votes,condition_epilepsy_votes
condition_fibromyalgia_score,condition_fibromyalgia_score
condition_fibromyalgia_votes,condition_fibromyalgia_votes
condition_gastrointestinalDisorder_score,condition_gastrointestinalDisorder_score
condition_gastrointestinalDisorder_votes,condition_gastrointestinalDisorder_votes
condition_glaucoma_score,condition_glaucoma_score
condition_glaucoma_votes,condition_glaucoma_votes
condition_hivAids_score,condition_hivAids_score
condition_hivAids_votes,condition_hivAids_votes
condition_hypertension_score,condition_hypertension_score
condition_hypertension_votes,condition_hypertension_votes
condition_migraines_score,condition_migraines_score
condition_migraines_votes,condition_migraines_votes
condition_multipleSclerosis_score,condition_multipleSclerosis_score
condition_multipleSclerosis_votes,condition_multipleSclerosis_votes
condition_muscularDystrophy_score,condition_muscularDystrophy_score
condition_muscularDystrophy_votes,condition_muscularDystrophy_votes
condition_parkinsons_score,condition_parkinsons_score
condition_parkinsons_votes,condition_parkinsons_votes
condition_phantomLimbPain_score,condition_phantomLimbPain_score
condition_phantomLimbPain_votes,condition_phantomLimbPain_votes
condition_pms_score,condition_pms_score
condition_pms_votes,condition_pms_votes
condition_ptsd_score,condition_ptsd_score
condition_ptsd_votes,condition_ptsd_votes
condition_spinalCordInjury_score,condition_spinalCordInjury_score
condition_spinalCordInjury_votes,condition_spinalCordInjury_votes
condition_tinnitus_score,condition_tinnitus_score
