,name,averageRating
3241,Mudra,5.0
3242,Too Buku,5.0
3249,Purple Tahoe OG,5.0
3206,Amnesia Z,5.0
3219,Mac #9,5.0
3257,Tropical Tart,5.0
3258,Fire And Ice,5.0
3264,Dutch Apple,5.0
8424,Fruity Thai,5.0
8432,Simbiote,5.0
37,Sakura,5.0
41,Hot Cougar,5.0
8444,Banango,5.0
8448,Meow OG,5.0
3279,Cookie Ox,5.0
3282,Pineapple Mimosa,5.0
3188,Pink Sprite,5.0
3189,Derailed,5.0
3195,Extix Runtz,5.0
3201,BlueMeanies,5.0
3202,Rainbow Lava,5.0
3288,AP13,5.0
3289,Dosi Bow,5.0
3299,Wyld Stallion,5.0
8393,MVP Cookies,5.0
54,ZZ4,5.0
58,Blackberry OG CBD,5.0
64,Vintage Pakistani 1,5.0
65,Wedding Animal,5.0
8411,Brain Candy,5.0
3313,Menthol MAC,5.0
3175,Grape Nana,5.0
3176,Double Gorilla OG,5.0
3185,Gelato Cream,5.0
3187,Omrita,5.0
3318,Amnesia Zkittlez Auto,5.0
3327,GM3 Gak,5.0
3333,Lime Tart,5.0
3337,Space Rip,5.0
68,Sha-Boink,5.0
74,Bohemian Soap,5.0
78,Bubba Kush 2.0,5.0
81,Cheetah Puffs,5.0
8374,Madzilla,5.0
3158,Rolling Thunder,5.0
3165,Peyote Gorilla,5.0
3167,8541,5.0
3148,Captain Krypt OG,5.0
3150,Fauxsido,5.0
3151,Plumberry,5.0
3378,Gravity Apple,5.0
8353,Eden’s Fire,5.0
90,Fire Alien Romulan,5.0
8359,Neroli 91,5.0
3392,Batgirl,5.0
3396,Shady Apples,5.0
3398,D Cure,5.0
3402,Fall Frost,5.0
3404,Orange Creampop,5.0
3120,Frosted Donut,5.0
3413,Grape Pearls,5.0
3414,Blue Wonder,5.0
3415,Cherry Kiss,5.0
3422,Bubba's Breath,5.0
3423,Acadia,5.0
3426,Gorilla Lemon Fire,5.0
3427,Peach Around,5.0
8336,Bloopiez,5.0
8339,C-Land,5.0
102,Black Sugar,5.0
103,Beach Crasher,5.0
105,Truntz,5.0
3438,Acid Dawg,5.0
3094,Serendipity,5.0
3445,Acia,5.0
3446,Force OG,5.0
3450,Sugar Bomb,5.0
3453,Tahoe Dreamin',5.0
3090,Sunset Animal Kush,5.0
3472,Zpectrum,5.0
3478,Creature Breath,5.0
3480,T99,5.0
8321,Sherb IX,5.0
8323,Blu Froot,5.0
117,Apology,5.0
118,The Lime,5.0
129,Prevention,5.0
8328,Diamond Daze,5.0
8332,OG Wedding,5.0
8333,Pineapple Sherbet,5.0
3062,Space Center,5.0
3074,Bootyclapper,5.0
3493,Boombaye,5.0
3498,Freeze Cheese '89,5.0
3504,Highway 30 OG,5.0
3046,Orange Bellini,5.0
3048,Swashbuckler,5.0
3057,Cookie Pebbles OG,5.0
3059,Blue Cherry Gelato,5.0
3510,Black Silk,5.0
3512,Banana Gelato,5.0
3516,Royal Slippers,5.0
3518,Big Buns,5.0
8289,Sweet & Sour Cindy,5.0
145,LA Soda,5.0
8298,Seattle Summer,5.0
8319,Weekend Warrior,5.0
3520,Mind Fiesta,5.0
3527,Diamond Valley Kush,5.0
3528,Pink Alien,5.0
3538,Tea Time,5.0
3032,Bog Blue Kush,5.0
3542,Papaya Melons,5.0
8255,Sour Tropicana,5.0
152,Waist Deep,5.0
155,Land Mine,5.0
8264,Poison Glue,5.0
3551,OG Limekiller,5.0
3012,Blues Brothers,5.0
3557,Strawberry Tree,5.0
3571,Bumble Kat,5.0
3574,Berry Melon-o,5.0
3000,Double Cream,5.0
3011,San Diego Banana,5.0
3589,Exodus Kush,5.0
3592,Peach Hashplant,5.0
3594,Midnight Moon,5.0
2982,Triple Crown,5.0
2984,Cherry Ghostenade,5.0
2989,StarCab,5.0
3605,Cullinan,5.0
3611,Dog Face,5.0
3615,Blukashima,5.0
3618,Cry Baby,5.0
3621,G.1000,5.0
8239,Super Silver Hash Plant,5.0
8243,Gelato Quin,5.0
168,Hot Mess,5.0
174,Chocolate Rain,5.0
8245,Faded Glory,5.0
8248,Tropsanto #6,5.0
2969,Dosi Pop,5.0
3640,Smelliot,5.0
3642,Red Tommyz,5.0
3643,Peach Fuzz,5.0
3646,Purple Paki Candy,5.0
3649,Stimulus,5.0
8208,Cookie Fam Sherbert,5.0
186,La Amnesia,5.0
189,NYC Sister,5.0
8220,Last Supper,5.0
8222,Brooklyn Sunrise,5.0
8223,LSD-25,5.0
2956,White Linen,5.0
2961,Patapeake Shortbread,5.0
2962,Orange 76,5.0
3652,Orangutan Titties,5.0
3653,Black Runtz Cake,5.0
3670,Pineapple Mojito,5.0
3678,Jilly OG,5.0
2935,The Judge,5.0
2938,Purple Tapes,5.0
2940,Red Kross,5.0
2947,Red Rose,5.0
3695,Cherry Treat,5.0
3696,Slap Wagon,5.0
3712,Rickey Sticky,5.0
8180,Gorilla Goo,5.0
200,Muskmelon OG,5.0
209,Hollywood Pure Kush,5.0
8200,Cherry Heads,5.0
8203,Dip N Dots,5.0
8205,Strawberry Biscotti,5.0
2924,Citrus Queen,5.0
2900,Gas Dreams,5.0
2901,Louis Faced,5.0
2903,LA Runtz,5.0
2905,OGIBA,5.0
2911,Purple Cane,5.0
2912,Margy Dog,5.0
8161,KGB,5.0
224,White Dosi Durban,5.0
8170,Orion F1,5.0
8172,K1 OG,5.0
2915,Poison Gushers,5.0
3717,Blue Headed OG,5.0
3719,Hawaiian Skunk Face,5.0
3720,Sour Peaches,5.0
3723,Forum Runtz Cake,5.0
3724,Jack Hammer,5.0
3725,Cirrus,5.0
3727,Amazeballs,5.0
3730,CK5,5.0
3733,Extreme Impact Auto,5.0
238,Flight 23,5.0
243,Ghost Candy,5.0
8132,Gunnpowwder,5.0
8138,Whiskey Cake,5.0
8139,Modified Muffin,5.0
8142,Dragon Snack,5.0
8143,Silver L.A.,5.0
8147,Pie 95,5.0
8153,Skins Skunk,5.0
8154,Kerosene Krash,5.0
3737,Sonoran Toad,5.0
3738,Unicorn Slippers,5.0
2887,Sweet Amnesia Haze XL Auto,5.0
2889,Tiger Berry,5.0
3748,Grapefruit Zlushiez,5.0
3753,Citrus Glueroy,5.0
3757,Obi Wan OG,5.0
8112,Bubblegum Skunk,5.0
244,31 Flavors,5.0
8122,Strawberry Remedy #9,5.0
8129,Divine Intervention,5.0
237,Purple Punch OG,5.0
3763,American Beauty,5.0
2871,Shark Widow,5.0
2877,Truck Driver,5.0
2881,Black Amber,5.0
3767,West Coast Diesel,5.0
3769,The Wolf,5.0
3772,Citrus Cooler,5.0
3773,Iced Out Cake,5.0
3776,Alpha Cow,5.0
3786,The Cat's Pajamas,5.0
3788,Space Jello,5.0
3792,Blank Check,5.0
2855,Sky Cuddler Kush,5.0
2866,River Valley OG,5.0
2867,Diamond Diesel,5.0
3799,Forbidden Muffin,5.0
3800,Pineapple MAC,5.0
3807,Jungle Spice,5.0
270,Pablo’s Mint,5.0
272,Goblin Eggs,5.0
8084,Wild Blueberry,5.0
8086,Dirty Buntz,5.0
8089,Prismatic Jack,5.0
8095,Lemon Kush Mints x Double OG Chem,5.0
8096,Guava Pie,5.0
8101,Guava Berry,5.0
8108,Blizzard Bush,5.0
281,Ethos Hash Plant Bx1,5.0
285,Los Muertos,5.0
288,Desert Cooler,5.0
291,Critical Soma,5.0
8069,Garlato,5.0
8070,Swift River Valley Kush,5.0
8075,Black Cherry Maduro,5.0
3808,Brian Berry Honey Lemon,5.0
3809,Turbo Lemon Cake,5.0
2836,Turbo Diesel,5.0
2840,Wedding Glue,5.0
2850,Key Lime Cookies,5.0
2851,Oro,5.0
3812,Guerilla Fume,5.0
3813,Bonzai,5.0
8043,Whitezilla,5.0
8049,Bubba Glue,5.0
292,Willy G’s Lebanese,5.0
294,Bad Betty,5.0
300,Grandmommy Purple,5.0
303,Notorious Mango,5.0
8064,Higher Primate,5.0
2827,Chocoloco,5.0
2830,Pink Prosecco,5.0
2835,Figment,5.0
3829,Zushilato,5.0
3846,Yuzu MAC,5.0
3857,Dirty Shirley,5.0
3858,11:11,5.0
3863,Jigsaw,5.0
2806,Black Patronus,5.0
2811,Crushed Ice,5.0
3878,Riesling,5.0
3879,Cold As Ice,5.0
3883,Gas Station,5.0
3891,Cold In The D,5.0
8012,Eli's Hair,5.0
8013,Gas Stank,5.0
318,Cresco Cookies,5.0
8034,Petroleum Nightmare,5.0
8035,Sour D*OG,5.0
2789,Big Black,5.0
2791,Fortissimo,5.0
2797,Diesel Cake,5.0
3896,Taylor Ham and Cheese,5.0
3900,Mandarin Jack,5.0
2772,Memory Crasher,5.0
2780,Lemon Stash CBD,5.0
2781,3 In The Pink,5.0
7997,Black Diamond X,5.0
8001,Dagwood,5.0
325,Serpentine OG,5.0
328,Rotten Cherries,5.0
335,Hot Donna,5.0
8005,Sour Spreez,5.0
8006,Buddha White Dwarf,5.0
2787,Blush,5.0
3915,Sowahh Sherb,5.0
3923,Sweet Purple,5.0
2756,GI001,5.0
2758,Unicorn Milk,5.0
2760,Gaviota Mist,5.0
3940,Purple Fluff,5.0
3948,Vapor Fuel,5.0
2740,Turbo,5.0
340,Return of the Mack,5.0
351,Zmokers Club,5.0
7973,Orchard Peach,5.0
7990,Cookie Chip,5.0
2742,Fat Bastard,5.0
2744,Velvet Krush,5.0
3985,London Jealousy,5.0
3986,Baccara,5.0
3993,Golden XTRX CO2 Dabbables,5.0
2724,Pele's Fire OG,5.0
2726,Valley Breeze,5.0
2729,Monkey Massacre,5.0
4005,Butterfingaz,5.0
4008,Mendo Montage,5.0
