,0
averageRating,float64
cannabinoid_cbc_percentile50,float64
cannabinoid_cbd_percentile50,float64
cannabinoid_cbg_percentile50,float64
cannabinoid_thc_percentile50,float64
cannabinoid_thcv_percentile50,float64
category,object
children_slugs,object
conditionReviewCount,int64
condition_addAdhd_score,float64
condition_addAdhd_votes,float64
condition_alzheimers_score,float64
condition_alzheimers_votes,float64
condition_anorexia_score,float64
condition_anorexia_votes,float64
condition_anxiety_score,float64
condition_anxiety_votes,float64
condition_arthritis_score,float64
condition_arthritis_votes,float64
condition_asthma_score,float64
condition_asthma_votes,float64
condition_bipolarDisorder_score,float64
condition_bipolarDisorder_votes,float64
condition_cachexia_score,float64
condition_cachexia_votes,float64
condition_cancer_score,float64
condition_cancer_votes,float64
condition_crohnsDisease_score,float64
condition_crohnsDisease_votes,float64
condition_epilepsy_score,float64
condition_epilepsy_votes,float64
condition_fibromyalgia_score,float64
condition_fibromyalgia_votes,float64
condition_gastrointestinalDisorder_score,float64
condition_gastrointestinalDisorder_votes,float64
condition_glaucoma_score,float64
condition_glaucoma_votes,float64
condition_hivAids_score,float64
condition_hivAids_votes,float64
condition_hypertension_score,float64
condition_hypertension_votes,float64
condition_migraines_score,float64
condition_migraines_votes,float64
condition_multipleSclerosis_score,float64
condition_multipleSclerosis_votes,float64
condition_muscularDystrophy_score,float64
condition_muscularDystrophy_votes,float64
condition_parkinsons_score,float64
condition_parkinsons_votes,float64
condition_phantomLimbPain_score,float64
condition_phantomLimbPain_votes,float64
condition_pms_score,float64
condition_pms_votes,float64
condition_ptsd_score,float64
condition_ptsd_votes,float64
condition_spinalCordInjury_score,float64
condition_spinalCordInjury_votes,float64
condition_tinnitus_score,float64
condition_tinnitus_votes,float64
condition_tourettesSyndrome_score,float64
condition_tourettesSyndrome_votes,float64
descriptionPlain,object
effectReviewCount,int64
effect_aroused_score,float64
effect_creative_score,float64
effect_energetic_score,float64
effect_euphoric_score,float64
effect_focused_score,float64
effect_giggly_score,float64
effect_happy_score,float64
effect_hungry_score,float64
effect_relaxed_score,float64
effect_sleepy_score,float64
effect_talkative_score,float64
effect_tingly_score,float64
effect_uplifted_score,float64
energizeScore,float64
flavorReviewCount,int64
flavor_ammonia_score,float64
flavor_apple_score,float64
flavor_apricot_score,float64
flavor_berry_score,float64
flavor_blueCheese_score,float64
flavor_blueberry_score,float64
flavor_butter_score,float64
flavor_cheese_score,float64
flavor_chemical_score,float64
flavor_chestnut_score,float64
flavor_citrus_score,float64
flavor_coffee_score,float64
flavor_diesel_score,float64
flavor_earthy_score,float64
flavor_flowery_score,float64
flavor_grape_score,float64
flavor_grapefruit_score,float64
flavor_honey_score,float64
flavor_lavender_score,float64
flavor_lemon_score,float64
flavor_lime_score,float64
flavor_mango_score,float64
flavor_menthol_score,float64
flavor_mint_score,float64
flavor_nutty_score,float64
flavor_orange_score,float64
flavor_peach_score,float64
flavor_pear_score,float64
flavor_pepper_score,float64
flavor_pine_score,float64
flavor_pineapple_score,float64
flavor_plum_score,float64
flavor_pungent_score,float64
flavor_rose_score,float64
flavor_sage_score,float64
flavor_skunk_score,float64
flavor_spicyHerbal_score,float64
flavor_strawberry_score,float64
flavor_sweet_score,float64
flavor_tar_score,float64
flavor_tea_score,float64
flavor_tobacco_score,float64
flavor_treeFruit_score,float64
flavor_tropical_score,float64
flavor_vanilla_score,float64
flavor_violet_score,float64
flavor_woody_score,float64
grow_averageYield,object
grow_difficulty,object
grow_floweringDays,float64
grow_height,object
id,int64
name,object
negativeReviewCount,int64
negative_anxious_score,float64
negative_anxious_votes,float64
negative_dizzy_score,float64
negative_dizzy_votes,float64
negative_dryEyes_score,float64
negative_dryEyes_votes,float64
negative_dryMouth_score,float64
negative_dryMouth_votes,float64
negative_headache_score,float64
negative_headache_votes,float64
negative_paranoid_score,float64
negative_paranoid_votes,float64
parent_slugs,object
phenotype,object
photoCount,int64
reviewCount,int64
slug,object
subtitle,object
symptomReviewCount,int64
symptom_cramps_score,float64
symptom_cramps_votes,float64
symptom_depression_score,float64
symptom_depression_votes,float64
symptom_eyePressure_score,float64
symptom_eyePressure_votes,float64
symptom_fatigue_score,float64
symptom_fatigue_votes,float64
symptom_headaches_score,float64
symptom_headaches_votes,float64
symptom_inflammation_score,float64
symptom_inflammation_votes,float64
symptom_insomnia_score,float64
symptom_insomnia_votes,float64
symptom_lackOfAppetite_score,float64
symptom_lackOfAppetite_votes,float64
symptom_muscleSpasms_score,float64
symptom_muscleSpasms_votes,float64
symptom_nausea_score,float64
symptom_nausea_votes,float64
symptom_pain_score,float64
symptom_pain_votes,float64
symptom_seizures_score,float64
symptom_seizures_votes,float64
symptom_spasticity_score,float64
symptom_spasticity_votes,float64
symptom_stress_score,float64
symptom_stress_votes,float64
terp_caryophyllene_score,float64
terp_humulene_score,float64
terp_limonene_score,float64
terp_linalool_score,float64
terp_myrcene_score,float64
terp_ocimene_score,float64
terp_pinene_score,float64
terp_terpinolene_score,float64
topEffect,object
totalFollowers,int64
traitsCountTotal,int64
traitsSourceCountTotal,int64
