,name,averageRating
25,Chikitaz,5.0
37,Sakura,5.0
41,Hot Cougar,5.0
54,ZZ4,5.0
58,Blackberry OG CBD,5.0
64,Vintage Pakistani 1,5.0
65,Wedding Animal,5.0
68,Sha-Boink,5.0
74,Bohemian Soap,5.0
78,Bubba Kush 2.0,5.0
81,Cheetah Puffs,5.0
90,Fire Alien Romulan,5.0
102,Black Sugar,5.0
103,Beach Crasher,5.0
105,Truntz,5.0
117,Apology,5.0
118,The Lime,5.0
129,Prevention,5.0
145,LA Soda,5.0
152,Waist Deep,5.0
155,Land Mine,5.0
168,Hot Mess,5.0
174,Chocolate Rain,5.0
186,La Amnesia,5.0
189,NYC Sister,5.0
200,Muskmelon OG,5.0
209,Hollywood Pure Kush,5.0
224,White Dosi Durban,5.0
237,Purple Punch OG,5.0
238,Flight 23,5.0
243,Ghost Candy,5.0
244,31 Flavors,5.0
270,Pablo’s Mint,5.0
272,Goblin Eggs,5.0
281,Ethos Hash Plant Bx1,5.0
285,Los Muertos,5.0
288,Desert Cooler,5.0
291,Critical Soma,5.0
292,Willy G’s Lebanese,5.0
294,Bad Betty,5.0
300,Grandmommy Purple,5.0
303,Notorious Mango,5.0
318,Cresco Cookies,5.0
325,Serpentine OG,5.0
328,Rotten Cherries,5.0
335,Hot Donna,5.0
340,Return of the Mack,5.0
351,Zmokers Club,5.0
360,Blueberry Cream,5.0
378,Sky Blue Diesel,5.0
382,Italian Soda,5.0
410,Cherry MAC,5.0
416,Revival,5.0
437,Juice Boxxx,5.0
439,White Bubblegum,5.0
443,KMZ,5.0
448,Sting A Ling,5.0
449,Baby Blue,5.0
458,Euroz,5.0
461,Allen Iverson OG,5.0
464,Haoma Mist,5.0
472,Chem’s Fruit Stand,5.0
477,Colorado Chem RBX3,5.0
478,Classic Twist,5.0
479,Chem Sour Face,5.0
484,Fluidic Space,5.0
485,Desi,5.0
497,Cream Pie Kush,5.0
510,Supreme Zelatti,5.0
537,Tenderoni,5.0
